,0
786,2
787,9
788,2
789,1
790,-1
791,2
792,1
793,11
794,1
795,2
796,2
797,2
798,2
799,0
800,1
801,1
802,-1
803,1
804,9
805,6
806,2
807,2
808,-1
809,2
810,0
811,2
812,1
813,1
814,0
815,2
816,1
817,2
818,5
819,9
820,0
821,-1
822,-1
823,2
824,0
825,0
826,0
827,5
828,2
829,5
830,5
831,10
832,3
833,2
834,2
835,0
836,1
837,-1
838,0
839,5
840,1
841,0
842,1
843,6
844,0
845,-1
846,0
847,1
848,5
849,5
850,1
851,0
852,-1
853,1
854,0
855,-1
856,0
857,-1
858,5
859,1
860,1
861,2
862,0
863,1
864,1
865,5
866,0
867,5
868,1
869,2
870,2
871,5
872,5
873,5
874,1
875,2
876,5
877,9
878,2
879,2
880,1
881,1
882,5
883,2
884,5
885,2
886,1
887,8
888,2
889,5
890,1
891,2
892,2
893,9
894,-1
895,1
896,2
897,1
898,3
899,0
900,5
901,0
902,2
903,1
904,2
905,1
906,2
907,2
908,6
909,1
910,2
911,5
912,5
913,2
914,0
915,0
916,1
917,5
918,0
919,5
920,0
921,1
922,2
923,0
924,-1
925,5
926,4
927,5
928,2
929,5
930,-1
931,3
932,2
933,5
934,1
935,0
936,2
937,1
938,-1
939,5
940,1
941,5
942,0
943,5
944,1
945,5
946,2
947,1
948,0
949,9
950,6
951,1
952,2
953,1
954,2
955,-1
956,0
957,9
958,1
959,5
960,4
961,2
962,2
963,5
964,1
965,5
966,0
967,1
968,6
969,0
970,0
971,-1
972,0
973,-1
974,1
975,5
976,1
977,1
978,1
979,2
980,1
981,1
982,1
983,2
984,0
985,3
986,2
987,2
988,2
989,5
990,-1
991,-1
992,0
993,2
994,0
995,5
996,2
997,0
998,1
999,0
1000,2
1001,10
1002,1
1003,10
1004,9
1005,-1
1006,-1
1007,2
1008,2
1009,2
1010,2
1011,2
1012,4
1013,2
1014,0
1015,1
1016,1
1017,1
1018,1
1019,0
1020,2
1021,-1
1022,5
1023,2
1024,10
1025,2
1026,11
1027,0
1028,1
1029,-1
1030,1
1031,5
1032,2
1033,2
1034,0
1035,1
1036,2
1037,2
1038,1
1039,5
1040,5
1041,10
1042,1
1043,2
1044,5
1045,-1
1046,1
1047,0
1048,2
1049,1
1050,5
1051,-1
1052,1
1053,1
1054,2
1055,-1
1056,-1
