,0
799,6
800,3
801,3
802,3
803,5
804,2
805,4
806,2
807,3
808,0
809,5
810,2
811,6
812,2
813,2
814,2
815,3
816,3
817,3
818,6
819,5
820,0
821,3
822,3
823,2
824,5
825,2
826,2
827,4
828,1
829,2
830,6
831,2
832,3
833,0
834,3
835,4
836,5
837,5
838,2
839,2
840,2
841,0
842,3
843,3
844,5
845,6
846,0
847,3
848,3
849,6
850,6
851,3
852,6
853,3
854,5
855,0
856,2
857,3
858,3
859,4
860,2
861,3
862,7
863,2
864,2
865,0
866,6
867,6
868,3
869,6
870,2
871,3
872,5
873,2
874,6
875,2
876,2
877,6
878,6
879,5
880,2
881,3
882,0
883,2
884,2
885,0
886,5
887,1
888,2
889,7
890,2
891,6
892,0
893,3
894,6
895,2
896,5
897,3
898,3
899,7
900,5
901,3
902,7
903,3
904,3
905,2
906,7
907,2
908,2
909,3
910,6
911,2
912,0
913,2
914,3
915,2
916,2
917,1
918,2
919,0
920,0
921,1
922,2
923,7
924,3
925,2
926,3
927,2
928,0
929,3
930,3
931,2
932,7
933,3
934,7
935,3
936,0
937,4
938,3
939,1
940,3
941,0
942,7
943,6
944,2
945,5
946,3
947,2
948,0
949,7
950,2
951,6
952,5
953,4
954,3
955,2
956,0
957,3
958,3
959,7
960,3
961,3
962,3
963,3
964,0
965,3
966,3
967,6
968,3
969,2
970,0
971,5
972,3
973,5
974,3
975,2
976,7
977,3
978,2
979,3
980,7
981,3
982,3
983,5
984,3
985,4
986,6
987,2
988,0
989,6
990,7
991,0
992,5
993,3
994,3
995,7
996,5
997,4
998,0
999,3
1000,5
1001,6
1002,2
1003,3
1004,6
1005,0
1006,3
1007,6
1008,2
1009,3
1010,3
1011,2
1012,3
1013,6
1014,4
1015,7
1016,2
1017,2
1018,3
1019,3
1020,3
1021,7
1022,3
1023,5
1024,2
1025,2
1026,2
1027,6
1028,6
1029,2
1030,3
1031,2
1032,0
1033,3
1034,3
1035,6
1036,3
1037,7
1038,2
1039,2
1040,3
1041,0
1042,6
1043,0
1044,6
1045,0
1046,5
1047,5
1048,6
1049,3
1050,2
1051,2
1052,0
1053,2
1054,6
1055,6
1056,6
1057,4
1058,3
1059,4
1060,7
1061,2
1062,7
1063,2
1064,3
1065,3
1066,2
1067,6
1068,0
