,0
701,-1
702,-1
703,-1
704,6
705,-1
706,4
707,1
708,-1
709,-1
710,-1
711,-1
712,1
713,-1
714,-1
715,-1
716,6
717,-1
718,10
719,-1
720,1
721,-1
722,6
723,1
724,1
725,4
726,1
727,-1
728,-1
729,2
730,4
731,1
732,-1
733,-1
734,-1
735,1
736,-1
737,1
738,-1
739,-1
740,-1
741,4
742,-1
743,-1
744,1
745,-1
746,-1
747,-1
748,1
749,-1
750,3
751,1
752,6
753,1
754,10
755,-1
756,-1
757,1
758,1
759,1
760,9
761,-1
762,-1
763,6
764,6
765,-1
766,6
767,4
768,1
769,-1
770,4
771,1
772,6
773,-1
774,1
775,-1
776,-1
777,-1
778,-1
779,-1
780,6
781,1
782,-1
783,-1
784,-1
785,1
786,-1
787,-1
788,-1
789,1
790,-1
791,-1
792,1
793,1
794,-1
795,-1
796,1
797,-1
798,-1
799,-1
800,1
801,1
802,-1
803,-1
804,6
805,-1
806,6
807,1
808,3
809,-1
810,-1
811,-1
812,6
813,-1
814,0
815,1
816,1
817,1
818,-1
819,-1
820,1
821,1
822,1
823,6
824,11
825,-1
826,0
827,-1
828,2
829,10
830,-1
831,0
832,1
833,1
834,1
835,-1
836,-1
837,-1
838,-1
839,0
840,-1
841,3
842,-1
843,1
844,-1
845,-1
846,1
847,1
848,-1
849,-1
850,-1
851,1
852,-1
853,1
854,-1
855,3
856,6
857,1
858,1
859,-1
860,6
861,1
862,4
863,0
864,6
865,3
866,-1
867,-1
868,-1
869,-1
870,-1
871,1
872,11
873,-1
874,-1
875,6
876,-1
877,-1
878,-1
879,-1
880,-1
881,-1
882,3
883,-1
884,6
885,3
886,-1
887,2
888,6
889,4
890,-1
891,-1
892,3
893,1
894,-1
895,6
896,-1
897,1
898,1
899,-1
900,-1
901,1
902,9
903,1
904,1
905,6
906,4
907,-1
908,-1
909,1
910,-1
911,6
912,-1
913,-1
914,1
915,-1
916,10
917,2
918,6
919,3
920,3
921,2
922,6
923,-1
924,1
925,-1
926,1
927,-1
928,3
929,1
930,-1
931,6
932,-1
933,1
934,4
935,1
936,3
937,-1
938,1
939,2
940,1
941,1
942,4
943,-1
944,6
945,-1
946,-1
947,-1
948,3
949,4
950,-1
951,-1
952,-1
953,-1
954,1
955,6
956,-1
957,1
958,1
959,-1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,-1
968,1
969,6
970,-1
971,-1
972,1
973,5
974,-1
975,-1
976,-1
977,1
978,-1
979,-1
980,-1
981,1
982,1
983,-1
984,1
985,-1
986,-1
987,6
988,-1
989,-1
990,-1
991,-1
992,-1
993,-1
994,1
995,-1
996,-1
997,-1
998,1
999,1
1000,11
1001,-1
1002,-1
1003,1
1004,-1
1005,1
1006,1
1007,-1
1008,6
1009,1
1010,1
1011,6
1012,-1
1013,-1
1014,-1
1015,4
1016,6
1017,6
1018,1
1019,1
1020,1
1021,4
1022,1
1023,-1
1024,0
1025,-1
1026,-1
1027,-1
1028,-1
1029,6
1030,1
1031,-1
1032,3
1033,1
1034,1
1035,-1
1036,1
1037,9
1038,-1
1039,-1
1040,1
1041,3
1042,-1
1043,1
1044,-1
1045,1
1046,-1
1047,11
1048,-1
1049,1
1050,6
1051,6
1052,1
1053,6
1054,-1
1055,-1
1056,-1
1057,-1
1058,1
1059,8
1060,-1
1061,-1
1062,4
1063,-1
1064,1
1065,1
1066,-1
1067,-1
1068,3
1069,-1
1070,1
1071,-1
1072,6
1073,-1
1074,-1
1075,6
1076,-1
1077,-1
1078,3
1079,4
1080,-1
1081,1
1082,-1
1083,-1
1084,-1
1085,1
1086,-1
1087,1
1088,-1
1089,3
1090,1
1091,10
1092,-1
1093,4
1094,0
1095,2
1096,-1
1097,6
1098,-1
1099,3
1100,-1
1101,-1
1102,-1
1103,1
1104,1
1105,1
1106,1
1107,-1
1108,1
1109,-1
1110,10
1111,6
1112,-1
1113,1
1114,-1
1115,1
1116,-1
1117,6
1118,-1
1119,9
1120,-1
1121,-1
1122,6
1123,-1
1124,-1
1125,1
1126,1
1127,-1
1128,1
1129,1
1130,-1
1131,5
1132,-1
1133,1
1134,1
1135,-1
1136,-1
1137,6
1138,0
1139,2
1140,0
1141,-1
1142,-1
1143,-1
1144,1
1145,-1
1146,1
1147,-1
1148,-1
1149,-1
1150,-1
1151,-1
1152,-1
1153,-1
1154,6
1155,-1
1156,1
1157,-1
1158,1
1159,-1
1160,6
1161,4
1162,1
1163,-1
1164,1
1165,4
1166,-1
1167,6
1168,-1
1169,8
1170,-1
1171,1
1172,1
1173,-1
1174,-1
1175,6
1176,1
1177,1
1178,3
1179,-1
1180,1
1181,4
1182,10
1183,-1
1184,1
1185,-1
1186,-1
1187,-1
1188,1
1189,11
1190,1
1191,1
1192,1
1193,6
1194,1
1195,-1
1196,1
1197,1
1198,1
1199,-1
1200,-1
1201,-1
1202,-1
