,0
745,-1
746,3
747,1
748,0
749,-1
750,6
751,0
752,3
753,0
754,3
755,53
756,56
757,0
758,0
759,0
760,0
761,63
762,24
763,3
764,3
765,65
766,3
767,0
768,0
769,1
770,0
771,0
772,3
773,3
774,0
775,0
776,51
777,-1
778,-1
779,77
780,3
781,0
782,-1
783,-1
784,24
785,0
786,61
787,-1
788,78
789,0
790,3
791,79
792,0
793,0
794,-1
795,64
796,0
797,3
798,80
799,29
800,0
801,0
802,0
803,77
804,3
805,24
806,3
807,0
808,6
809,-1
810,-1
811,-1
812,3
813,3
814,1
815,0
816,0
817,0
818,-1
819,-1
820,0
821,0
822,0
823,3
824,33
825,30
826,1
827,-1
828,2
829,3
830,-1
831,1
832,0
833,0
834,0
835,18
836,-1
837,-1
838,3
839,1
840,-1
841,6
842,81
843,0
844,-1
845,-1
846,0
847,0
848,48
849,52
850,82
851,0
852,-1
853,0
854,-1
855,6
856,3
857,0
858,0
859,49
860,3
861,0
862,0
863,1
864,3
865,6
866,80
867,-1
868,74
869,-1
870,16
871,0
872,33
873,-1
874,3
875,3
876,-1
877,-1
878,-1
879,-1
880,71
881,0
882,6
883,1
884,3
885,6
886,-1
887,2
888,3
889,0
890,3
891,-1
892,6
893,0
894,-1
895,3
896,-1
897,0
898,0
899,-1
900,-1
901,0
902,0
903,0
904,0
905,3
906,0
907,25
908,-1
909,0
910,-1
911,3
912,-1
913,3
914,0
915,-1
916,3
917,2
918,3
919,6
920,6
921,2
922,3
923,-1
924,0
925,3
926,0
927,3
928,6
929,0
930,0
931,3
932,0
933,0
934,0
935,0
936,6
937,83
938,0
939,2
940,0
941,0
942,0
943,55
944,3
945,-1
946,0
947,70
948,6
949,0
950,1
951,-1
952,-1
953,-1
954,0
955,3
956,-1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,62
968,0
969,3
970,84
971,78
972,0
973,11
974,-1
975,16
976,63
977,0
978,3
979,17
980,-1
981,0
982,0
983,-1
984,0
985,24
986,-1
987,3
988,58
989,85
990,-1
991,-1
992,-1
993,0
994,0
995,0
996,34
997,86
998,0
999,0
1000,33
1001,-1
1002,16
1003,0
1004,87
1005,0
1006,0
1007,-1
1008,3
1009,0
1010,0
1011,3
1012,-1
1013,-1
1014,88
1015,0
1016,3
1017,3
1018,0
1019,0
1020,0
1021,0
1022,0
1023,34
1024,1
1025,3
1026,1
1027,-1
1028,-1
1029,3
1030,0
1031,-1
1032,6
1033,0
1034,0
1035,-1
1036,0
1037,0
1038,3
1039,1
1040,0
1041,6
1042,-1
1043,0
1044,69
1045,0
1046,-1
1047,33
1048,-1
1049,0
1050,3
1051,3
1052,0
1053,3
1054,3
1055,-1
1056,82
1057,49
1058,0
1059,18
1060,22
1061,14
1062,0
1063,25
1064,0
1065,0
1066,3
1067,-1
1068,6
1069,-1
1070,0
1071,33
1072,3
1073,-1
1074,-1
1075,3
1076,-1
1077,59
1078,6
1079,0
1080,-1
1081,0
1082,34
1083,-1
1084,-1
1085,0
1086,0
1087,0
1088,89
1089,6
1090,0
1091,3
1092,17
1093,0
1094,1
1095,2
1096,-1
1097,3
1098,67
1099,6
1100,6
1101,88
1102,-1
1103,0
1104,0
1105,0
1106,0
1107,-1
1108,0
1109,-1
1110,3
1111,3
1112,6
1113,0
1114,-1
1115,0
1116,-1
1117,3
1118,-1
1119,0
1120,71
1121,-1
1122,3
1123,52
1124,-1
1125,0
1126,0
1127,-1
1128,0
1129,0
1130,85
1131,11
1132,90
1133,0
1134,0
1135,64
