num,id,ingredients
27,Roasted-Greek-Style-Chicken-1641919,"['bone-in skin-on chicken thighs', 'plain greek yogurt', 'garlic', 'dried oregano', 'paprika', 'salt', 'black pepper', 'lemon', 'red pepper flakes', 'extra-virgin olive oil', 'parsley flakes']"
28,Grilled-Greek-Lemon-Chicken-Drumsticks-1681148,"['extra-virgin olive oil', 'lemon', 'oregano', 'garlic cloves', 'sea salt', 'red pepper flakes', 'chicken drumsticks']"
29,Greek-Moussaka-2119898,"['eggplant', 'waxy potatoes', 'minced meat', 'garlic cloves', 'onions', 'butter', 'flour', 'whole milk', 'clove', 'bay leaf', 'ground cinnamon', 'cayenne pepper', 'tomatoes', 'pepper', 'salt', 'grating cheese', 'fresh parsley']"
30,Spanakopita-Casserole-490232,"['olive oil', 'red bell pepper', 'sweet onion', 'fresh spinach', 'fresh dill', 'fresh mint', 'large egg whites', 'feta cheese', 'phyllo dough', 'olive oil cooking spray']"
31,Greek-Chicken-Gyro-627678,"['chicken', 'lemon', 'vegetable oil', 'garlic cloves', 'oregano', 'salt', 'pepper', 'boneless skinless chicken breasts', 'tzatziki sauce', 'plain yogurt', 'cucumber', 'garlic', 'olive oil', 'vinegar', 'flatbread', 'flour', 'instant yeast', 'milk', 'sugar', 'butter']"
32,Sirloin-Gyros-771887,"['garlic', 'lemon', 'red wine vinegar', 'olive oil', 'plain yogurt', 'oregano', 'kosher salt', 'freshly ground black pepper', 'filet', 'pita bread', 'roma tomatoes', 'red onion', 'greek yogurt', 'cucumber', 'white wine vinegar', 'lemon juice']"
33,Greek-Chicken-Tacos-471145,"['chicken tenderloin', 'olive oil', 'lemon', 'minced garlic', 'salt', 'flour tortillas', 'fresh tomatoes', 'fresh parsley', 'feta cheese']"
34,Easy-Greek-Chicken-Souvlaki-2230066,"['chicken thighs', 'olive oil', 'lemon juice', 'white wine', 'onion powder', 'garlic powder', 'dried basil', 'oregano', 'salt', 'pepper', 'canola oil']"
35,Greek-Chicken-Souvlaki-2266762,"['chicken breasts', 'olive oil', 'lemon juice', 'dried oregano', 'salt', 'garlic powder']"
36,Braised-Chicken-Thighs-with-Garlic_-Lemon-and-Greek-Olives-1511120,"['bone-in skin-on chicken thighs', 'kosher salt', 'freshly ground black pepper', 'garlic cloves', 'yellow onion', 'lemon', 'fresh oregano leaves', 'Greek olive']"
37,Greek-Roasted-Chicken-Thighs-1739189,"['olive oil', 'minced garlic', 'fresh lemon juice', 'red wine vinegar', 'dried oregano', 'coarse salt', 'freshly ground black pepper', 'chicken thighs']"
38,Slow-cooked-Greek-lamb-1574478,"['lamb bone', 'olive oil', 'garlic', 'dried thyme', 'salt', 'ground pepper', 'lemon', 'extra-virgin olive oil', 'chopped parsley']"
39,20-Minute-Greek-Gyros-with-Tzatziki-Sauce-1695041,"['ground lamb', 'lean ground beef', 'garlic', 'allspice', 'onions', 'salt', 'black pepper', 'greek yogurt', 'lemon juice', 'dill weed', 'pita bread', 'sliced tomatoes', 'lettuce']"
40,Creamy-Greek-Yogurt-Mac-_-Cheese-631558,"['elbow macaroni', 'shredded cheese', 'plain greek yogurt', 'fresh spinach', 'salt', 'pepper', 'onion powder', 'garlic powder']"
41,Greek-Style-Lamb-Kebabs-_Souvlaki_-2134018,"['olive oil', 'lemon', 'garlic', 'dried oregano', 'salt', 'black pepper', 'lamb leg steaks']"
42,Souvlaki-Roast-Chicken-with-Lemon-Mint-Tzatziki-485963,"['chicken', 'fresh lemon juice', 'olive oil', 'balsamic vinegar', 'kosher salt', 'smoked paprika', 'ground black pepper', 'minced garlic', 'English cucumber', 'chopped fresh mint', 'salt']"
43,Oven-Roasted-Greek-Chicken-_-Lemon-Quinoa-2143785,"['chicken breasts', 'lemon juice', 'olive oil', 'chicken broth', 'garlic cloves', 'fresh parsley', 'salt', 'pepper', 'dried oregano', 'onions', 'quinoa', 'water', 'lemon', 'lemon wedges']"
44,Greek-Style-Roast-Lamb-With-Potatoes-897376,"['garlic', 'dried oregano', 'rosemary', 'thyme', 'olive oil', 'dijon mustard', 'lemon juice', 'white wine', 'salt', 'ground pepper', 'lamb shoulder', 'yukon gold potatoes']"
45,Grilled-Chicken-Tzatziki-Salad-1164119,"['boneless skinless chicken breasts', 'plain greek yogurt', 'fresh lemon juice', 'dried oregano', 'ground cinnamon', 'kosher salt', 'olive oil', 'garlic', 'red onion', 'cucumber', 'dried dillweed', 'black pepper', 'romaine lettuce', 'tomatoes', 'kalamata', 'feta cheese crumbles']"
46,Greek-Meatballs-1017220,"['ground beef', 'ground lamb', 'eggs', 'lemon', 'dried oregano', 'granulated garlic', 'onion flakes', 'fresh mint', 'feta cheese', 'pepper', 'salt']"
47,Grilled-Greek-Chicken-with-Tzatziki-Sauce-2285969,"['olive oil', 'minced garlic', 'fresh rosemary', 'chopped fresh thyme', 'fresh oregano', 'lemon', 'ground pepper', 'skinless chicken pieces', 'nonfat plain greek yogurt', 'light sour cream', 'English cucumber', 'dill', 'salt']"
48,Greek-Marinade-for-Grilled-Chicken-931818,"['boneless skinless chicken breasts', 'olive oil', 'red wine vinegar', 'lemon', 'garlic cloves', 'oregano', 'thyme', 'salt', 'ground black pepper']"
49,Greek_style-Pizza-My-Recipes_1,"['olive oil', 'baby spinach', 'thin pizza crust', 'tomato sauce', 'feta cheese crumbles', 'freshly ground pepper', 'black olives']"
50,GREEK-RABBIT-STEW-1093782,"['rabbit', 'red onion', 'chopped garlic', 'allspice berries', 'cinnamon sticks', 'bay leaves', 'dried oregano', 'tomato paste', 'tomatoes', 'dry red wine', 'sweet red wine', 'chicken', 'red wine vinegar', 'olive oil']"
51,Ground-beef-gyro-meatball-lettuce-wraps-with-tzatziki-and-tomatoes-309224,"['extra lean ground beef', 'onions', 'greek seasoning', 'ground cumin', 'garlic powder', 'olive oil', 'iceberg lettuce', 'tzatziki sauce', 'cherry tomatoes']"
52,Feta-Stuffed-Turkey-Meatloaf-with-Tzatziki-Sauce-2219047,"['yogurt', 'lemon juice', 'garlic', 'cucumber', 'fresh dill', 'salt', 'onions', 'olive oil', 'freshly ground pepper', 'frozen spinach', 'ground turkey', 'almond meal', 'chicken stock', 'large eggs', 'worcestershire sauce', 'feta cheese crumbles']"
53,Greek-style-mac-and-cheese-315060,"['elbow macaroni', 'olive oil', 'onions', 'garlic', 'spinach', 'salt', 'flour', 'milk', 'freshly ground pepper', 'grated nutmeg', 'havarti cheese', 'feta cheese', 'kalamata', 'capers', 'sun-dried tomatoes', 'bread crumbs']"
54,Greek-Marinated-Grilled-Lamb-Chops-751391,"['lemon zest', 'olive oil', 'garlic', 'dried oregano', 'fresh rosemary', 'lamb chops', 'salt', 'pepper']"
55,Chicken-gyros-369969,"['plain yogurt', 'hothouse cucumber', 'garlic', 'red wine vinegar', 'salt', 'fresh lemon juice', 'extra-virgin olive oil', 'lemon', 'dried oregano', 'boneless skinless chicken breasts', 'bread', 'fresh tomatoes', 'red onion']"
