num,id,ingredients
34,Southern-Fried-Salmon-Patties-1125586,"['canned salmon', 'onions', 'cornmeal', 'flour', 'eggs', 'mayonnaise']"
35,Southern-Style-Black-Eyed-Peas-970825,"['black-eyed peas', 'water', 'butter', 'onions', 'smoked ham hocks', 'salt', 'black pepper']"
36,Home-Fried-Chicken-1766289,"['chicken thighs', 'large eggs', 'water', 'hot sauce', 'flour', 'black pepper', 'salt', 'garlic powder', 'vegetable oil']"
37,Chicken-Fried-Chicken-with-Country-Gravy-2376789,"['chicken breasts', 'all-purpose flour', 'buttermilk', 'salt', 'black pepper', 'vegetable oil', 'gravy mix', 'chicken bouillon', 'butter', 'garlic powder']"
38,Fried-Pork-Chops-and-Country-Gravy-1087983,"['bone-in pork chops', 'pepper', 'salt', 'flour', 'vegetable oil', 'water']"
39,Quick-and-Easy-Chicken-and-Dumplings-1015286,"['chicken broth', 'cooked chicken', 'refrigerated biscuits', 'cream of chicken soup', 'pepper']"
40,Southern-Fried-Fish-1274098,"['whitefish', 'salt', 'pepper', 'buttermilk', 'hot sauce', 'fish', 'cornmeal', 'flour', 'onion powder', 'black pepper', 'paprika']"
41,Southern-Fried-Chicken-1425894,"['chicken', 'milk', 'garlic salt', 'black pepper', 'flour', 'paprika', 'vegetable oil']"
42,Southern-bbq-chicken-over-crispy-greens-299719,"['torn romain lettuc leav', 'cut up cooked chicken', 'tomatoes', 'frozen whole kernel corn', 'black beans', 'red onion', 'wish bone ranch dress']"
43,Southern-Style-Oven-Fried-Chicken-2359723,"['all-purpose flour', 'table salt', 'cayenne pepper', 'buttermilk', 'cornflake crumbs', 'boneless skinless chicken breasts']"
44,REAL-Southern-Fried-Chicken-Batter-2175369,"['beaten eggs', 'milk', 'paprika', 'poultry seasoning', 'garlic salt', 'black pepper', 'all-purpose flour']"
45,Black-Eyed-Pea-Stew-with-Collard-Greens-_-Potatoes-490165,"['low sodium vegetable broth', 'collard greens', 'no-salt-added diced tomatoes', 'red potato', 'black-eyed peas', 'ground black pepper']"
46,Oven-Fried-Buttermilk-Chicken-_-Gravy-1007944,"['chicken breasts', 'buttermilk', 'all-purpose flour', 'seasoning salt', 'black pepper', 'butter', 'cream of mushroom soup']"
47,Garlic-Fried-Chicken-1176188,"['chicken', 'panko breadcrumbs', 'ground black pepper', 'milk', 'garlic powder', 'salt', 'all-purpose flour', 'eggs', 'paprika', 'cooking oil']"
48,Hoppin_-John-The-Pioneer-Woman-200164,"['butter', 'onions', 'garlic', 'green bell pepper', 'celery', 'black-eyed peas', 'chicken broth', 'ham hock', 'salt', 'pepper', 'cayenne pepper', 'white vinegar', 'brown rice']"
49,Fried-Chicken-466662,"['boneless chicken breast', 'all-purpose flour', 'bread crumbs', 'eggs', 'seasoning', 'pepper', 'salt', 'oil']"
50,Southern-Fried-Pork-Chops-1233135,"['bone-in pork chops', 'seasoning salt', 'pepper', 'buttermilk', 'self rising flour', 'vegetable oil']"
