num,id,ingredients
28,Easy-Jambalaya-1013208,"['jambalaya rice mix', 'smoked sausage', 'chicken breasts', 'chicken broth', 'Rotel Diced Tomatoes & Green Chilies', 'salt', 'pepper']"
29,Fully-Loaded-Jambalaya-with-Andouille-Sausage-1107744,"[""Uncle Ben's® Ready Rice® Original Long Grain"", 'Johnsonville Andouille', 'vegetable oil', 'onions', 'green bell pepper', 'celery', 'cajun seasoning', 'garlic', 'chopped tomatoes']"
30,Classic-Shrimp-Creole-1312457,"['jumbo shrimp', 'olive oil', 'diced tomatoes', 'celery', 'onions', 'bell pepper', 'tomato paste', 'creole seasoning', 'hot sauce', 'cooked rice']"
31,Chicken_-Andouille_-and-Shrimp-Jambalaya-2238784,"['vegetable oil', 'andouille sausage', 'skinless chicken thighs', 'chopped onion', 'chopped celery', 'chopped green bell pepper', 'garlic', 'long-grain rice', 'diced tomatoes', 'chicken broth', 'chopped fresh thyme', 'fresh bay leaves', 'shrimp', 'kosher salt', 'ground black pepper', 'smoked paprika', 'cayenne pepper', 'fresh parsley', 'green onions']"
32,Shrimp-and-sausage-jambalaya-350840,"['bacon', 'chorizo', 'olive oil', 'butter', 'yellow onion', 'green bell pepper', 'celery', 'sea salt', 'black pepper', 'garlic', 'tomatoes', 'dried thyme', 'dried oregano', 'ground red pepper', 'bay leaves', 'low sodium chicken broth', 'fresh parsley', 'fresh lemon', 'large shrimp', 'green onions', 'long grain white rice']"
33,Cajun-Chicken-Pasta-in-Sun-Dried-Tomato-Alfredo-Sauce-2258973,"['noodles', 'olive oil', 'skinless chicken breasts', 'cajun seasoning', 'red bell pepper', 'orange bell pepper', 'red onion', 'oil', 'tomatoes', 'garlic cloves', 'all-purpose flour', 'low sodium chicken broth', 'milk', 'corn starch', 'tomato paste', 'salt', 'pepper', 'cream cheese', 'freshly grated parmesan', 'shredded mozzarella cheese', 'lime juice', 'fresh parsley', 'cayenne pepper']"
34,Cajun-Shrimp-1507151,"['shrimp', 'cajun seasoning', 'lemon slices', 'olive oil', 'butter']"
35,Cajun-Shrimp-with-Tomato-Alfredo-Pasta-2262929,"['dry pasta', 'large shrimp', 'cajun seasoning', 'olive oil', 'butter', 'small onion', 'garlic', 'diced tomatoes', 'heavy cream', 'parmesan cheese', 'salt', 'pepper', 'fresh basil']"
36,Jambalaya-1582649,"['boneless skinless chicken breasts', 'andouille sausage', 'diced tomatoes', 'onions', 'green bell pepper', 'celery', 'reduced sodium chicken broth', 'dried oregano', 'creole seasoning', 'hot sauce', 'bay leaves', 'dried thyme', 'cooked shrimp', 'cooked rice']"
37,Louisiana-style-red-beans-and-rice-309506,"['onions', 'olive oil', 'minced garlic', 'creole seasoning', 'dried thyme', 'dried oregano', 'black pepper', 'salt', 'small red beans', 'ham', 'homemade chicken stock', 'worcestershire sauce', 'Tabasco Green Pepper Sauce', 'bay leaves', 'red wine vinegar', 'cooked white rice']"
