num,id,ingredients
25,Tennessee-White-Chili-512202,"['canola oil', 'onions', 'garlic', 'cooked chicken breasts', 'cannellini beans', 'cilantro', 'ground cumin', 'salt', 'cayenne pepper', 'chicken broth', 'monterey jack']"
26,Slow-Cooker-Turkey-Chili-2375430,"['olive oil', 'lean ground turkey', 'onions', 'garlic', 'tomato sauce', 'diced tomatoes', 'black beans', 'kidney beans', 'frozen corn', 'green chile', 'chicken broth', 'chili powder', 'ground cumin', 'paprika', 'chipotles in adobo', 'salt', 'pepper', 'shredded cheddar cheese', 'sour cream', 'green onions', 'tortilla chips']"
27,Healthy-10-Minute-Vegetarian-Taco-Salad-1479829,"['olive oil', 'rice', 'black beans', 'frozen sweet corn', 'red onion', 'chunky salsa', 'lettuce', 'roma tomatoes', 'jack cheese', 'tortilla chips', 'avocado', 'fresh cilantro']"
28,Southwest-Stuffed-Chicken-896061,"['chicken cutlets', 'salsa', 'sharp cheddar cheese', 'tortilla chips', 'chili powder', 'ground cumin', 'sea salt', 'olive oil']"
29,Chipotle-Black-Bean-Burger-2335380,"['black beans', 'corn kernels', 'garlic', 'red onion', 'red bell pepper', 'bread crumbs', 'chili powder', 'ground cumin', 'dried oregano', 'salt', 'vegetable oil', 'fresh cilantro']"
30,Southwestern-Chicken-Scaloppine-792332,"['boneless skinless chicken breasts', 'Gold Medal All Purpose Flour', 'ground cumin', 'salt', 'canola oil', 'Progresso™ Chicken Broth', 'pepper sauce', 'lime juice', 'chopped fresh cilantro']"
31,Cheesy-Chicken-Rice-1879019,"['skinless chicken breasts', 'chicken flavored rice', 'frozen corn', 'corn', 'black beans', 'green chilies', 'shredded Monterey Jack cheese']"
32,Cheesy-Salsa-Burger-1103636,"['ground beef', 'shredded cheddar cheese', 'salsa', 'chopped cilantro', 'cumin', 'smoked paprika', 'chili powder', 'garlic powder', 'kosher salt', 'chipotle chile powder', 'pepper jack', 'soft buns', 'avocado']"
33,Slow-cooker-southwestern-pork-roast-303705,"['roast', 'Lipton® Recipe Secrets® Onion Soup Mix', 'diced tomatoes', 'chopped green chilies', 'firmly packed brown sugar', 'chili powder', 'ground cumin']"
34,Cowboy-Burritos-1109237,"['flour tortillas', 'pork', 'barbecue sauce', 'Ranch Style Beans', 'shredded cheddar cheese', 'red onion', 'jalapeno chilies', 'sour cream']"
35,Chicken-chili-309032,"['yellow onion', 'butter', 'garlic', 'red bell pepper', 'yellow bell pepper', 'chili powder', 'ground cumin', 'red pepper flakes', 'cayenne pepper', 'kosher salt', 'diced tomatoes', 'black beans', 'cilantro stems', 'chicken', 'sour cream', 'cilantro']"
36,Wicked-Good-Pork-Tenderloin-Chili-_for-the-crockpot_-2378764,"['pork tenderloin', 'small onion', 'red pepper', 'green pepper', 'black beans', 'salsa', 'diced tomatoes', 'organic chicken broth', 'dried oregano', 'ground cumin', 'chili powder']"
37,Sweet-Potato-Chili-1106591,"['crushed tomatoes', 'diced tomatoes', 'kidney beans', 'black beans', 'white beans', 'sweet potatoes', 'yellow onion', 'garlic', 'chili powder', 'brown sugar', 'ground cumin', 'smoked paprika', 'salt', 'red onion', 'avocado', 'chopped cilantro', 'grating cheese', 'sour cream', 'fritos']"
38,Slow-Cooker-Spicy-Chicken-_-Rice-1980136,"['skinless chicken breasts', 'tomatoes', 'enchilada sauce', 'garlic powder', 'smoked paprika', 'salt', 'ground cumin', 'chipotles in adobo', 'cooked rice', 'black beans', 'shredded sharp cheddar cheese', 'shredded pepper jack cheese', 'sour cream', 'avocado', 'cilantro']"
39,Stuffed-Bell-Peppers-679678,"['olive oil', 'ground beef', 'onions', 'taco seasoning', 'cooked rice', 'bell pepper', 'black beans', 'frozen corn', 'salsa', 'cheddar cheese', 'fresh cilantro', 'sour cream', 'avocado']"
40,20-Minute-Doritos-Taco-Salad-_Video__-2031401,"['olive oil', 'ground beef', 'taco seasoning', 'black beans', 'yellow peppers', 'red onion', 'romaine lettuce', 'tomatoes', 'frozen corn', 'shredded cheddar cheese', 'cilantro', 'doritos', 'taco sauce', 'chili powder', 'cumin', 'coriander', 'garlic powder', 'dried minced onion', 'paprika', 'salt', 'pepper', 'crushed red pepper flakes']"
41,SIMPLE-CHICKEN-TORTILLA-CASSEROLE-1022782,"['flour tortillas', 'chicken in water', 'cream of chicken soup', 'sour cream', 'diced tomatoes', 'salsa', 'shredded cheese']"
42,Machaca-con-Huevo-_Machaca-with-Eggs_-2179567,"['olive oil', 'red onion', 'roma tomatoes', 'jalapeno chilies', 'brisket', 'eggs', 'salsa', 'flour tortillas']"
43,Southwestern-Ham-Steak-1563830,"['chili powder', 'dried oregano', 'ground cayenne pepper', 'freshly ground black pepper', 'dark brown sugar', 'unsalted butter', 'ham steak']"
44,Slow-Cooker-Chipotle-Black-Bean-Chili-2081520,"['onions', 'garlic', 'crushed tomatoes', 'black beans', 'bulgur', 'adobo sauce', 'ground cumin', 'chili powder', 'smoked paprika', 'ground coriander', 'salt', 'low sodium vegetable broth', 'avocado', 'green onions', 'cilantro']"
45,Classic-King-Ranch-Chicken-Casserole-2215031,"['vegetable oil', 'onions', 'green bell pepper', 'garlic', 'condensed cream of mushroom soup', 'condensed cream of chicken soup', 'diced tomatoes', 'oregano', 'ground cumin', 'chili powder', 'black pepper', 'corn tortillas', 'cooked chicken', 'shredded cheddar cheese']"
46,Vegan-Taquitos-with-Green-Chiles-1362508,"['vegan cheddar cheese', 'vegan cream cheese', 'green chile', 'corn tortillas', 'canola oil cooking spray']"
47,Stuffed-Poblanos-_-Poblano-peppers-stuffed-with-beans-and-rice-2297222,"['poblano peppers', 'rice', 'black beans', 'sauce', 'Mexican cheese blend', 'onions', 'garlic', 'ground cumin', 'chili powder', 'cilantro', 'oil', 'salt', 'tomatoes', 'clove', 'jalapeno chilies']"
48,Southwestern-ribeye-steaks-with-corn-on-the-cob-297678,"[""I Can't Believe It's Not Butter!® Spread"", 'chopped garlic', 'ground cumin', 'salt', 'cayenne pepper', 'steak', 'corn-on-the-cob']"
49,Crockpot-Chicken-Enchilada-Chili-1872960,"['onions', 'red bell pepper', 'low sodium black beans', 'white beans', 'diced tomatoes and green chilies', 'chili powder', 'cumin', 'minced garlic', 'salt', 'boneless skinless chicken breasts', 'enchilada sauce', 'cilantro leaves']"
50,Healthy-Crockpot-White-Chicken-Chili-1424726,"['boneless skinless chicken breasts', 'Great Northern Beans', 'sweet corn', 'chopped green chilies', 'reduced sodium chicken broth', 'sweet onion', 'minced garlic', 'lime', 'cumin', 'onion powder', 'garlic powder', 'chili powder', 'cayenne pepper', 'ground black pepper', 'paprika']"
51,Quinoa_-Black-Bean-and-Corn-Tacos-2173119,"['olive oil', 'yellow onion', 'garlic', 'chicken broth', 'diced tomatoes', 'quinoa', 'chili powder', 'ground cumin', 'paprika', 'cayenne pepper', 'salt', 'freshly ground black pepper', 'frozen corn', 'black beans', 'lime', 'chopped cilantro', 'corn tortillas', 'lettuce', 'monterey jack', 'avocado']"
52,Cheesy-Chorizo-Stuffed-Chiles-2205674,"['Anaheim chile', 'chorizo', 'monterey jack', 'salsa', 'cheddar cheese']"
53,Slow-Cooker-3-Bean-Turkey-Chili-2254746,"['ground turkey breast', 'small onion', 'diced tomatoes', 'tomato sauce', 'chilies', 'chickpeas', 'black beans', 'small red beans', 'chili powder', 'cumin', 'red onion', 'chopped fresh cilantro', 'shredded cheddar cheese', 'avocado', 'sour cream']"
54,Quick-_-Easy-Chicken-Tostadas-1038019,"['corn tortillas', 'refried beans', 'rotisserie chicken', 'lettuce', 'cheddar cheese', 'cherry tomatoes', 'avocado']"
55,Enchiladas-1707376,"['vegetable oil', 'minced onion', 'red bell pepper', 'diced tomatoes', 'chopped garlic', 'cumin', 'chili powder', 'maple syrup', 'salt', 'vegetable broth', 'black beans', 'tomato sauce', 'coconut milk', 'corn tortillas']"
56,Easy-Buffalo-Chicken-Avocado-Wrap-1270651,"['buffalo meat', 'avocado', 'baby carrots', 'spinach', 'shredded cheddar cheese', 'tortillas']"
57,Southwestern-Baked-Tilapia-1880815,"['garlic powder', 'chili powder', 'fine sea salt', 'ground black pepper', 'cayenne pepper', 'tilapia fillets', 'extra-virgin olive oil', 'lime']"
58,Slow-Cooker-Stuffed-Peppers-2260962,"['lean ground beef', 'cooked brown rice', 'shredded cheddar cheese', 'black beans', 'corn kernels', 'salsa', 'cilantro leaves', 'cumin', 'chili powder', 'kosher salt', 'freshly ground black pepper', 'bell pepper', 'sour cream']"
59,Beef-and-black-bean-chili-350773,"['ground beef', 'oil', 'onions', 'garlic', 'cumin', 'chili powder', 'ancho powder', 'diced tomatoes', 'black beans', 'beef broth', 'chipotles in adobo', 'oregano', 'salt', 'pepper', 'cilantro']"
60,Chipotle-Chicken-Stuffed-Peppers-2375429,"['olive oil', 'chicken breasts', 'onions', 'garlic', 'fire roasted diced tomatoes', 'cooked rice', 'frozen corn', 'black beans', 'cumin', 'chili powder', 'lime juice', 'pepper', 'bell pepper', 'cilantro']"
61,Slow-Cooker-Chicken-Enchilada-Stack-2375338,"['enchilada sauce', 'flour tortillas', 'black beans', 'frozen corn kernels', 'cooked chicken breasts', 'Mexican cheese blend', 'olives', 'avocado', 'sour cream', 'cilantro']"
62,Spaghetti-Squash-Burrito-Bowls-1720596,"['spaghetti squash', 'black beans', 'salsa', 'olive oil', 'bell pepper', 'red onion', 'corn kernels', 'fresh cilantro', 'jalapeno chilies', 'green onions', 'cumin', 'salt', 'pepper', 'shredded cheddar cheese']"
63,Southwestern-burrito-bar-346479,"['lean ground beef', 'salsa', 'black beans', 'frozen corn', 'salt', 'flour tortillas']"
64,Cheesy-Chicken-Enchiladas-2195107,"['cream of chicken soup', 'sour cream', 'butter', 'chopped onion', 'chili powder', 'chicken breasts', 'green chile', 'flour tortillas', 'shredded cheese', 'jalapeno chilies']"
65,Pork-Tacos-with-Pineapple-Salsa-2044233,"['pork', 'fresh pineapple', 'diced red onions', 'diced tomatoes', 'chopped cilantro', 'lime', 'green bell pepper', 'jalapeno chilies', 'fajita size flour tortillas']"
66,Santa-Fe-Chicken-Salad-1193471,"['chicken breasts', 'mixed salad greens', 'cilantro leaves', 'black beans', 'corn kernels', 'red onion', 'red pepper', 'vinaigrette', 'tortillas']"
67,Black-Bean-Vegetarian-Burrito-1509579,"['flour tortillas', 'onions', 'olive oil', 'frozen sweet corn', 'red bell pepper', 'black beans', 'chili powder', 'garlic', 'paprika', 'tomatoes', 'fresh cilantro', 'monterey jack', 'cooked quinoa', 'butter']"
68,BBQ-Chicken-Salad-with-Creamy-BBQ-Dressing-1728996,"['chicken breasts', 'bbq sauce', 'hearts of romaine', 'frozen corn', 'black beans', 'green onions', 'shredded cheddar cheese', 'tortilla chips', 'mayonnaise', 'milk', 'buttermilk', 'fresh cilantro', 'lime juice', 'white vinegar', 'granulated sugar', 'garlic cloves', 'salt', 'cayenne pepper', 'black pepper', 'ground cumin']"
69,Southwestern-Chicken-_-Rice-Skillet-474871,"['extra-virgin olive oil', 'chicken', 'onions', 'taco seasoning', 'frozen corn kernels', 'black beans', 'chicken broth', 'salsa', 'long grain white rice']"
70,Southwestern-Taco-Casserole-1824789,"['ground beef', 'taco seasoning', 'mushroom soup', 'beef broth', 'rotelle', 'cheddar cheese', 'tortilla chips']"
71,Salsa-Verde-Chicken-Casserole-2076443,"['brown rice', 'chicken', 'onions', 'red pepper', 'corn', 'black beans', 'cumin', 'salsa verde', 'shredded cheese', 'cilantro', 'avocado', 'cheese', 'salsa']"
72,Southwestern-Quinoa-Bake-_Vegan_-1061946,"['quinoa', 'water', 'olive oil', 'onions', 'garlic', 'red bell pepper', 'yellow bell pepper', 'frozen corn kernels', 'black beans', 'ground cumin', 'cayenne pepper', 'sea salt', 'chopped cilantro', 'vegan cheese', 'cilantro', 'green onions', 'avocado', 'tomatoes']"
73,Southwestern-Turkey-Casserole-1277058,"['onions', 'green pepper', 'butter', 'cooked turkey', 'condensed cream of chicken soup', 'sour cream', 'frozen chopped spinach', 'monterey jack', 'tortilla chips']"
74,Chicken-_-citrus-slaw-tostadas-371446,"['oil', 'corn tortillas', 'firm tofu', 'fresh lime juice', 'red wine vinegar', 'honey', 'dijon mustard', 'chipotle chile', 'orange zest', 'lime zest', 'kosher salt', 'ground black pepper', 'green cabbage', 'red cabbage', 'red onion', 'carrots', 'chopped fresh cilantro', 'whole roasting chicken', 'lime', 'adobo']"
75,Chicken-Fajita-Chopped-Salad-1682643,"['boneless skinless chicken breasts', 'fajita seasoning mix', 'oil', 'romaine lettuce', 'black beans', 'yellow peppers', 'red onion', 'fresh cilantro', 'avocado', 'tortillas', 'ranch dressing']"
